frame_id,gaze_label,gaze_zone,is_blinking,hands_label,hands_position
0,gaze_zone/front,front,True,unknown,unknown
1,gaze_zone/front,front,True,unknown,unknown
2,gaze_zone/front,front,True,unknown,unknown
3,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
4,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
5,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
6,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
7,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
8,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
9,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
10,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
11,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
12,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
13,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
14,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
15,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
16,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
17,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
18,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
19,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
20,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
21,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
22,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
23,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
24,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
25,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
26,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
27,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
28,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
29,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
30,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
31,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
32,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
33,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
34,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
35,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
36,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
37,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
38,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
39,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
40,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
41,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
42,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
43,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
44,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
45,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
46,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
47,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
48,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
49,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
50,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
51,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
52,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
53,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
54,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
55,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
56,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
57,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
58,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
59,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
60,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
61,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
62,gaze_zone/front,front,False,hands_on_wheel/both_hands,both_hands
63,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
64,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
65,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
66,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
67,gaze_zone/front,front,True,hands_on_wheel/both_hands,both_hands
68,gaze_zone/left_mirror,left_mirror,True,hands_on_wheel/both_hands,both_hands
69,gaze_zone/left_mirror,left_mirror,True,hands_on_wheel/both_hands,both_hands
70,gaze_zone/left_mirror,left_mirror,True,hands_on_wheel/both_hands,both_hands
71,gaze_zone/left_mirror,left_mirror,True,hands_on_wheel/both_hands,both_hands
72,gaze_zone/left_mirror,left_mirror,True,hands_on_wheel/both_hands,both_hands
73,gaze_zone/left_mirror,left_mirror,True,hands_on_wheel/both_hands,both_hands
74,gaze_zone/left_mirror,left_mirror,True,hands_on_wheel/both_hands,both_hands
75,gaze_zone/left_mirror,left_mirror,False,hands_on_wheel/both_hands,both_hands
76,gaze_zone/left_mirror,left_mirror,False,hands_on_wheel/both_hands,both_hands
77,gaze_zone/left_mirror,left_mirror,False,hands_on_wheel/both_hands,both_hands
78,gaze_zone/left_mirror,left_mirror,False,hands_on_wheel/both_hands,both_hands
79,gaze_zone/left_mirror,left_mirror,False,hands_on_wheel/both_hands,both_hands
80,gaze_zone/left_mirror,left_mirror,False,hands_on_wheel/both_hands,both_hands
81,gaze_zone/left_mirror,left_mirror,False,hands_on_wheel/both_hands,both_hands
82,gaze_zone/left_mirror,left_mirror,False,hands_on_wheel/both_hands,both_hands
83,gaze_zone/left_mirror,left_mirror,False,hands_on_wheel/both_hands,both_hands
84,gaze_zone/left_mirror,left_mirror,False,hands_on_wheel/both_hands,both_hands
