frame_id,label,session
7,safe_drive,s1
8,safe_drive,s1
9,safe_drive,s1
10,safe_drive,s1
11,safe_drive,s1
12,safe_drive,s1
13,safe_drive,s1
14,safe_drive,s1
15,safe_drive,s1
16,safe_drive,s1
17,safe_drive,s1
18,safe_drive,s1
19,safe_drive,s1
20,safe_drive,s1
21,safe_drive,s1
22,safe_drive,s1
23,safe_drive,s1
24,safe_drive,s1
25,safe_drive,s1
26,safe_drive,s1
27,safe_drive,s1
28,safe_drive,s1
29,safe_drive,s1
30,safe_drive,s1
31,safe_drive,s1
32,safe_drive,s1
33,safe_drive,s1
34,safe_drive,s1
35,safe_drive,s1
36,safe_drive,s1
37,safe_drive,s1
38,safe_drive,s1
39,safe_drive,s1
40,safe_drive,s1
41,safe_drive,s1
42,safe_drive,s1
43,safe_drive,s1
44,safe_drive,s1
45,safe_drive,s1
46,safe_drive,s1
47,safe_drive,s1
48,safe_drive,s1
49,safe_drive,s1
50,safe_drive,s1
51,safe_drive,s1
52,safe_drive,s1
53,safe_drive,s1
54,safe_drive,s1
55,safe_drive,s1
56,safe_drive,s1
57,safe_drive,s1
58,safe_drive,s1
59,safe_drive,s1
60,safe_drive,s1
61,safe_drive,s1
62,safe_drive,s1
63,safe_drive,s1
64,safe_drive,s1
65,safe_drive,s1
66,safe_drive,s1
67,safe_drive,s1
68,safe_drive,s1
69,safe_drive,s1
70,safe_drive,s1
71,safe_drive,s1
72,safe_drive,s1
73,safe_drive,s1
74,safe_drive,s1
75,safe_drive,s1
76,safe_drive,s1
77,safe_drive,s1
78,safe_drive,s1
79,safe_drive,s1
80,safe_drive,s1
81,safe_drive,s1
82,safe_drive,s1
83,safe_drive,s1
84,safe_drive,s1
85,safe_drive,s1
86,safe_drive,s1
87,safe_drive,s1
88,safe_drive,s1
89,safe_drive,s1
90,safe_drive,s1
91,safe_drive,s1
92,safe_drive,s1
93,safe_drive,s1
94,safe_drive,s1
95,safe_drive,s1
96,safe_drive,s1
97,safe_drive,s1
98,safe_drive,s1
99,safe_drive,s1
100,safe_drive,s1
101,safe_drive,s1
102,safe_drive,s1
103,safe_drive,s1
104,safe_drive,s1
105,safe_drive,s1
106,safe_drive,s1
107,safe_drive,s1
108,safe_drive,s1
